Luz María Beristain Navarrete ; 57270181da509c1c7e1d7e27 ; senadores prd
María Hilaria Domínguez Arvizu ; 5727017dda509c1c7e1d7e1a ; senadores pri
Juan Gerardo Flores Ramírez ; 57270182da509c1c7e1d7e36 ; senadores pvem
Héctor Larios Córdova ; 57270147cd4f08e77d42d9d0 ; senadores pan
Sonia Mendoza Díaz ; 5727014ecd4f08e77d42d9d8 ; senadores pan
Ma. del Pilar Ortega Martínez ; 57270144cd4f08e77d42d9c4 ; senadores pan
Ernesto Ruffo Appel ; 5727006cbabf68437d5137a7 ; senadores pan
Luis Fernando Salazar Fernández ; 5727006cbabf68437d5137a9 ; senadores pan
María Lucero Saldaña Pérez ; 5727006cbabf68437d5137ac ; senadores pri
Teófilo Torres Corzo ; 5727014fcd4f08e77d42d9e5 ; senadores pri
José Antonio Arévalo González ; 572704360a5c133480a53b0c ; diputados PVEM
Alejandro Armenta Mier ; 572704370a5c133480a53b0e ; diputados PRI
Carlos Barragán Amador ; 572704410a5c133480a53b16 ; diputados PRI
Laura Mitzi Barrientos Cano ; 572704430a5c133480a53b19 ; diputados PRI
Pablo Bedolla López ; 572704460a5c133480a53b1e ; diputados PRI
Alfredo Bejos Nicolás ; 572704470a5c133480a53b1f ; diputados PRI
Carlos Bello Otero ; 572704470a5c133480a53b20 ; diputados PAN
María Luisa Beltrán Reyes ; 572704480a5c133480a53b21 ; diputados PRD
Omar Noé Bernardino Vargas ; 5727044c0a5c133480a53b26 ; diputados PVEM
Edmundo Javier Bolaños Aguilar ; 5727044d0a5c133480a53b28 ; diputados PAN
Erika Irazema Briones Pérez ; 572704500a5c133480a53b2d ; diputados PRD
Jasmine María Bugarín Rodríguez ; 572704500a5c133480a53b2e ; diputados PRI
María Esther Guadalupe Camargo Félix ; 572704540a5c133480a53b34 ; diputados PRI
Jesús Ricardo Canavati Tafich ; 5727045b0a5c133480a53b39 ; diputados PVEM
Sergio René Cancino Barffuson ; 5727045c0a5c133480a53b3a ; diputados MORENA
Ana Leticia Carrera Hernández ; 5727045d0a5c133480a53b3d ; diputados PRD
Jorge Alejandro Carvallo Delfín ; 5727045e0a5c133480a53b3e ; diputados PRI
J. Apolinar Casillas Gutiérrez ; 5727045f0a5c133480a53b3f ; diputados PAN
Edgar Castillo Martínez ; 572704610a5c133480a53b44 ; diputados PRI
Olga Catalán Padilla ; 572704620a5c133480a53b46 ; diputados PRD
María Chávez García ; 5727047b0a5c133480a53b50 ; diputados MORENA
Manuel Jesús Clouthier Carrillo ; 5727047c0a5c133480a53b52 ; diputados Ind.
Vitalico Cándido Coheto Martínez ; 5727047c0a5c133480a53b53 ; diputados PRI
José del Pilar Córdova Hernández ; 5727047e0a5c133480a53b56 ; diputados PRI
Ariel Enrique Corona Rodríguez ; 572704810a5c133480a53b5a ; diputados PAN
Pedro Luis Coronado Ayarzagoitia ; 572704860a5c133480a53b5c ; diputados PRI
Juan Corral Mier ; 572704870a5c133480a53b5e ; diputados PAN
Román Francisco Cortés Lugo ; 572704880a5c133480a53b60 ; diputados PAN
Gina Andrea Cruz Blackledge ; 5727048b0a5c133480a53b65 ; diputados PAN
Eva Florinda Cruz Molina ; 5727048c0a5c133480a53b66 ; diputados PRD
Jorge Enrique Dávila Flores ; 5727048f0a5c133480a53b6c ; diputados PRI
Carlos Alberto De la Fuente Flores ; 5727048f0a5c133480a53b6d ; diputados PAN
Alfredo Del Mazo Maza ; 572704bb0a5c133480a53b71 ; diputados PRI
Federico Döring Casar ; 572704be0a5c133480a53b78 ; diputados PAN
Adriana Elizarraraz Sandoval ; 572704bf0a5c133480a53b79 ; diputados PAN
Mayra Angélica Enríquez Vanderkam ; 572704c00a5c133480a53b7b ; diputados PAN
Manuel de Jesús Espino Barrientos ; 572704c20a5c133480a53b7e ; diputados MC
Laura Beatriz Esquivel Valdes ; 572704c30a5c133480a53b80 ; diputados MORENA
Maricela Emilse Etcheverry Aranda ; 572704ca0a5c133480a53b82 ; diputados PRI
Sandra Luz Falcón Venegas ; 572704cb0a5c133480a53b83 ; diputados MORENA
José Alfredo Ferreiro Velazco ; 572704ce0a5c133480a53b88 ; diputados PES
José de Jesús Galindo Rosas ; 572704d30a5c133480a53b92 ; diputados PVEM
Fernando Galván Martínez ; 572704d40a5c133480a53b93 ; diputados PRD
Marco Antonio García Ayala ; 572704d80a5c133480a53b97 ; diputados PRI
Óscar García Barrón ; 572704d80a5c133480a53b98 ; diputados PRI
Lilia Arminda García Escobar ; 572704db0a5c133480a53b9d ; diputados PAN
Pedro Garza Treviño ; 572704df0a5c133480a53ba5 ; diputados PAN
Jorgina Gaxiola Lezama ; 572704e30a5c133480a53ba7 ; diputados PVEM
Víctor Manuel Giorgana Jiménez ; 572704e40a5c133480a53ba9 ; diputados PRI
Sergio Emilio Gómez Oliver ; 572704e60a5c133480a53bac ; diputados PAN
Martha Hilda González Calderón ; 572704e60a5c133480a53bad ; diputados PRI
José Adrián González Navarro ; 572704e80a5c133480a53bb0 ; diputados PAN
Miguel Ángel González Salum ; 572704e90a5c133480a53bb1 ; diputados PRI
María Marcela González Salas y Petricioli ; 572704ea0a5c133480a53bb4 ; diputados PRI
Braulio Mario Guerra Urbiola ; 572704ed0a5c133480a53bb6 ; diputados PRI
Fabiola Guerrero Aguilar ; 572704ef0a5c133480a53bb7 ; diputados PRI
